Method,Log Loss,Brier,ECE,Spain %,Argentina %,France %,Brazil %,England %,Portugal %
Global Platt,0.8556020417435691,0.5007803786086629,0.040674148682791705,19.6 +/- 0.00,15.6 +/- 0.00,11.3 +/- 0.00,6.2 +/- 0.00,5.6 +/- 0.00,4.8 +/- 0.00
Hybrid (T=18),0.8572024133215544,0.5015238715077296,0.0394451676963267,18.7 +/- 0.00,14.7 +/- 0.00,10.8 +/- 0.00,5.9 +/- 0.00,5.2 +/- 0.00,4.5 +/- 0.00
Hybrid (T=20),0.8572024133215544,0.5015238715077296,0.0394451676963267,18.7 +/- 0.00,14.7 +/- 0.00,10.8 +/- 0.00,5.9 +/- 0.00,5.2 +/- 0.00,4.5 +/- 0.00
Hybrid (T=22),0.8572024133215544,0.5015238715077296,0.0394451676963267,18.7 +/- 0.00,14.7 +/- 0.00,10.8 +/- 0.00,5.9 +/- 0.00,5.2 +/- 0.00,4.5 +/- 0.00
